name,neighborhood,artist,address,created_date,thumbnail_url,medium_url,full_url,latitude,longitude
words of encouragement,Davis Square,"","40 Holland St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/photo 3-4.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/photo 3-4.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/photo 3-4.JPG,42.397561,-71.1235137
Popcorn switchbox,Davis Square,"","37 Davis square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/switchbox popcorn davis sq2.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/switchbox popcorn davis sq2.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/switchbox popcorn davis sq2.jpg,42.3969466,-71.12230009999999
spool switchbox,Davis Square,"","345 Highland Ave, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/lightbox highland ave spool2.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/lightbox highland ave spool2.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/lightbox highland ave spool2.jpg,42.39421,-71.11651499999999
detainee switchbox,Davis Square,"","215 Elm St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/photo 1_1.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/photo 1_1.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/photo 1_1.JPG,42.3942302,-71.12110679999999
Cityscape switchbox,Davis Square,"","381 Smmer St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0694.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0694.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0694.jpg,42.394445,-71.120801
Davis with a D,Davis Square,Sam Gilliam,"55 Davis square, somerville, MA , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0981.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0981.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0981.jpg,42.39675829999999,-71.1228104
Seven Hills Sculptures,Davis Square,Clifford Selbert,"57 davis Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/photo 3-1_0.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/photo 3-1_0.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/photo 3-1_0.JPG,42.3965787,-71.12247839999999
Seven Hills Park Statues,Davis Square,James Tyler,"57 Davis Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/SevenHillsPark.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/SevenHillsPark.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/SevenHillsPark.jpg,42.3965787,-71.12247839999999
Sunset Dancers,Davis Square,"","19 Winter St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0984.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0984.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0984.jpg,42.3975046,-71.1227578
Philosophical traffic box,Davis Square,J.T.,"40 College Ave, Somerville, MA","Thu, 2004-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/west branch library _0.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/west branch library _0.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/west branch library _0.JPG,42.39812879999999,-71.1217411
